timestamp_ms,speed_kmh,rpm,accel_x,accel_y,accel_z,roll,pitch,g_force,latitude,longitude,heading,lap,distance_m,faults
790,80.53,45771.6,0.4817,1.9174,9.6837,6.77,-1.26,1.007,12.972041,77.594561,-12.8,0,13.8,0x0
800,80.71,45876.5,1.0927,1.6847,9.8022,6.83,-1.39,1.02,12.972048,77.59456,-11.4,0,14.0,0x0
810,80.84,45953.1,-0.1696,1.3446,9.8612,6.84,-1.34,1.015,12.972055,77.594559,-9.4,0,14.2,0x0
820,81.02,46050.3,0.4788,1.4541,9.8114,6.87,-1.38,1.012,12.972063,77.594558,-9.1,0,14.5,0x0
830,81.18,46141.9,-0.1063,0.8454,9.8785,6.82,-1.34,1.011,12.97207,77.594556,-13.2,0,14.7,0x0
840,81.27,46195.0,1.2589,1.24,9.8422,6.83,-1.46,1.019,12.972077,77.594554,-12.8,0,14.9,0x0
850,81.42,46278.2,0.752,1.0518,9.7898,6.8,-1.52,1.007,12.972084,77.594553,-11.6,0,15.1,0x0
860,81.62,46394.4,1.3635,1.2912,9.8963,6.82,-1.65,1.027,12.972091,77.594551,-13.3,0,15.4,0x0
870,81.62,46391.4,0.6231,1.5924,9.6364,6.88,-1.7,0.998,12.972098,77.594549,-12.8,0,15.6,0x0
880,81.81,46499.6,0.2175,1.9901,9.6807,6.97,-1.69,1.008,12.972105,77.594548,-9.8,0,15.8,0x0
890,81.76,46475.4,1.3292,1.6589,9.7896,7.03,-1.8,1.021,12.972113,77.594546,-13.9,0,16.1,0x0
900,82.03,46627.0,-0.2749,1.9756,9.8344,7.12,-1.74,1.023,12.97212,77.594544,-13.5,0,16.3,0x0
910,82.11,46670.2,0.3567,1.6545,9.7821,7.18,-1.76,1.012,12.972127,77.594543,-11.9,0,16.5,0x0
920,82.17,46704.7,0.0841,0.9543,9.768,7.15,-1.74,1.0,12.972134,77.594541,-14.2,0,16.7,0x0
930,82.29,46776.6,0.4609,1.4211,9.5643,7.17,-1.77,0.987,12.972141,77.594539,-14.9,0,17.0,0x0
940,82.53,46911.3,0.8889,1.4223,9.9738,7.2,-1.84,1.031,12.972149,77.594538,-10.4,0,17.2,0x0
950,82.55,46921.2,0.2307,1.533,9.8367,7.24,-1.82,1.015,12.972156,77.594536,-10.8,0,17.4,0x0
960,82.61,46955.8,0.8627,1.9002,9.8042,7.32,-1.88,1.022,12.972163,77.594535,-13.0,0,17.7,0x0
970,82.85,47091.3,-0.3777,1.6449,9.7942,7.38,-1.8,1.013,12.97217,77.594533,-12.1,0,17.9,0x0
980,83.08,47224.9,0.106,1.2771,9.7286,7.4,-1.78,1.0,12.972178,77.594531,-15.5,0,18.1,0x0
990,82.98,47165.1,0.6606,1.4226,9.9893,7.41,-1.82,1.031,12.972185,77.594529,-12.9,0,18.3,0x0
1000,83.0,47177.5,1.0269,1.5032,9.9834,7.44,-1.9,1.034,12.972192,77.594527,-14.8,0,18.6,0x0
1010,83.07,47216.6,0.3207,0.9614,9.7751,7.38,-1.89,1.002,12.972199,77.594525,-13.9,0,18.8,0x0
1020,83.24,47315.0,1.3047,1.0813,9.8426,7.37,-2.0,1.018,12.972206,77.594523,-16.1,0,19.0,0x0
1030,83.24,47316.9,1.3562,1.7104,9.7593,7.42,-2.12,1.019,12.972214,77.594521,-14.2,0,19.3,0x0
1040,83.31,47356.3,0.9404,1.5491,9.7181,7.44,-2.19,1.008,12.972221,77.594519,-14.8,0,19.5,0x0
1050,83.3,47346.0,1.003,1.1981,9.6613,7.43,-2.26,0.998,12.972228,77.594517,-16.1,0,19.7,0x0
1060,83.42,47414.6,0.3336,1.0772,9.8031,7.4,-2.26,1.006,12.972235,77.594515,-16.4,0,20.0,0x0
1070,83.6,47517.8,0.332,0.5798,9.7742,7.3,-2.26,0.999,12.972242,77.594513,-17.2,0,20.2,0x0
1080,83.75,47605.7,0.7292,1.3243,9.7204,7.31,-2.29,1.003,12.97225,77.594511,-16.2,0,20.4,0x0
1090,83.81,47636.1,0.9129,1.0091,9.7708,7.29,-2.35,1.006,12.972257,77.594508,-16.9,0,20.7,0x0
1100,83.84,47655.1,0.6898,1.5129,9.7985,7.32,-2.38,1.013,12.972264,77.594506,-16.1,0,20.9,0x0
1110,83.87,47675.0,0.0905,1.262,9.8345,7.33,-2.35,1.011,12.972271,77.594504,-17.5,0,21.1,0x0
1120,83.84,47656.8,1.5415,1.1827,9.8365,7.31,-2.49,1.022,12.972279,77.594502,-15.8,0,21.4,0x0
1130,83.84,47654.5,0.6085,1.018,9.7255,7.29,-2.52,0.999,12.972286,77.5945,-14.8,0,21.6,0x0
1140,83.59,47514.3,-0.5712,1.584,9.9725,7.33,-2.4,1.031,12.972293,77.594498,-16.5,0,21.8,0x0
1150,83.69,47571.0,1.1092,1.5321,9.9376,7.37,-2.47,1.031,12.9723,77.594495,-18.3,0,22.1,0x0
1160,83.84,47658.0,0.3514,0.7423,9.9528,7.29,-2.46,1.018,12.972307,77.594493,-18.0,0,22.3,0x0
1170,84.08,47789.3,1.3318,0.9251,9.814,7.26,-2.55,1.014,12.972315,77.59449,-18.1,0,22.5,0x0
1180,84.14,47826.5,0.3386,0.9127,9.8691,7.22,-2.54,1.011,12.972322,77.594488,-18.6,0,22.8,0x0
1190,84.3,47917.9,0.1199,1.4517,9.9292,7.25,-2.5,1.023,12.972329,77.594486,-17.5,0,23.0,0x0
1200,84.32,47928.1,1.019,1.2524,9.792,7.24,-2.58,1.012,12.972336,77.594483,-18.0,0,23.2,0x0
1210,84.31,47924.8,0.799,1.0109,9.8035,7.22,-2.62,1.008,12.972343,77.594481,-16.1,0,23.5,0x0
1220,84.51,48036.4,0.9905,0.9266,9.7495,7.17,-2.68,1.003,12.972351,77.594479,-18.1,0,23.7,0x0
1230,84.39,47970.6,0.2706,0.9968,9.8385,7.14,-2.67,1.008,12.972358,77.594476,-18.8,0,23.9,0x0
1240,84.52,48041.7,0.5129,1.4318,9.799,7.17,-2.7,1.011,12.972365,77.594474,-18.6,0,24.2,0x0
1250,84.6,48089.2,0.4057,1.4541,9.77,7.19,-2.69,1.008,12.972372,77.594471,-17.6,0,24.4,0x0
1260,84.55,48061.4,0.804,1.1172,9.8642,7.17,-2.72,1.015,12.97238,77.594469,-16.4,0,24.6,0x0
1270,84.51,48038.9,0.1764,1.1442,9.8528,7.18,-2.69,1.011,12.972387,77.594467,-15.4,0,24.9,0x0
1280,84.52,48043.3,0.7318,1.0892,9.7821,7.15,-2.72,1.006,12.972394,77.594465,-13.8,0,25.1,0x0
1290,84.78,48187.4,1.0093,1.2452,9.6591,7.14,-2.8,0.998,12.972402,77.594463,-15.1,0,25.3,0x0
1300,84.81,48206.4,0.4389,0.551,9.7234,7.08,-2.81,0.994,12.972409,77.594461,-13.2,0,25.6,0x0
1310,84.84,48221.7,1.0556,1.5166,9.7788,7.11,-2.87,1.014,12.972416,77.59446,-13.5,0,25.8,0x0
1320,84.9,48256.8,1.3226,1.2956,9.7756,7.13,-2.96,1.014,12.972424,77.594458,-12.9,0,26.0,0x0
1330,84.87,48243.6,0.2529,1.4931,9.8299,7.16,-2.92,1.014,12.972431,77.594456,-13.6,0,26.3,0x0
1340,84.85,48227.4,0.0593,1.459,9.7845,7.19,-2.87,1.008,12.972439,77.594454,-12.6,0,26.5,0x0
1350,84.84,48223.2,1.1269,1.1918,9.9031,7.19,-2.93,1.023,12.972446,77.594453,-9.0,0,26.8,0x0
1360,84.94,48279.2,1.1529,1.2415,9.926,7.21,-3.01,1.026,12.972454,77.594452,-10.6,0,27.0,0x0
1370,85.01,48321.2,0.4159,0.8476,9.8702,7.16,-3.02,1.011,12.972461,77.59445,-11.1,0,27.2,0x0
1380,84.99,48312.0,1.0712,1.4004,9.8556,7.19,-3.08,1.021,12.972469,77.594449,-8.5,0,27.5,0x0
1390,85.1,48371.9,1.2084,0.616,9.8127,7.12,-3.16,1.01,12.972476,77.594447,-11.9,0,27.7,0x0
1400,84.97,48299.8,1.2801,0.8464,9.7805,7.06,-3.23,1.009,12.972484,77.594446,-10.1,0,27.9,0x0
1410,85.1,48373.9,0.7869,1.795,9.5066,7.13,-3.26,0.989,12.972491,77.594445,-9.8,0,28.2,0x0
1420,84.96,48290.8,0.3928,1.1621,9.6597,7.11,-3.24,0.993,12.972499,77.594444,-7.7,0,28.4,0x0
1430,85.12,48381.2,0.9407,1.2556,9.8434,7.11,-3.27,1.016,12.972506,77.594442,-8.5,0,28.6,0x0
1440,85.13,48388.9,0.815,0.8913,9.8004,7.08,-3.31,1.007,12.972514,77.594441,-9.9,0,28.9,0x0
1450,85.21,48436.5,0.4024,1.1532,9.9548,7.07,-3.28,1.022,12.972521,77.59444,-8.5,0,29.1,0x0
1460,85.15,48397.6,0.815,0.9319,9.9056,7.02,-3.31,1.018,12.972529,77.594439,-6.6,0,29.4,0x0
1470,85.13,48387.3,0.4603,1.0515,9.8705,6.98,-3.29,1.013,12.972537,77.594437,-12.2,0,29.6,0x0
1480,85.08,48361.2,1.8239,0.882,9.8709,6.95,-3.43,1.027,12.972544,77.594436,-13.1,0,29.8,0x0
1490,85.05,48340.9,0.4749,1.4176,9.7802,6.97,-3.41,1.009,12.972551,77.594434,-11.8,0,30.1,0x0
1500,84.99,48310.3,0.1415,0.1489,9.6588,6.87,-3.35,0.985,12.972559,77.594432,-10.8,0,30.3,0x0
1510,85.13,48388.3,0.7925,1.2385,9.7848,6.87,-3.36,1.009,12.972566,77.594431,-11.9,0,30.5,0x0
1520,85.36,48521.3,0.3727,0.8748,9.8005,6.83,-3.34,1.004,12.972574,77.594429,-14.8,0,30.8,0x0
1530,85.5,48597.9,0.6678,0.7801,9.9359,6.78,-3.35,1.018,12.972581,77.594427,-14.4,0,31.0,0x0
1540,85.53,48618.1,1.1971,1.0153,9.9671,6.79,-3.43,1.029,12.972589,77.594425,-12.6,0,31.2,0x0
1550,85.61,48664.2,0.4945,1.3406,9.9007,6.81,-3.44,1.02,12.972596,77.594423,-13.5,0,31.5,0x0
1560,85.54,48621.2,-0.0434,1.1065,9.6715,6.81,-3.37,0.992,12.972604,77.594422,-11.7,0,31.7,0x0
1570,85.43,48557.8,1.1744,1.2684,9.8531,6.81,-3.45,1.02,12.972611,77.59442,-14.7,0,32.0,0x0
1580,85.44,48566.6,0.384,0.9712,9.7944,6.78,-3.42,1.004,12.972619,77.594418,-14.1,0,32.2,0x0
1590,85.46,48578.3,0.8399,1.4303,9.7459,6.81,-3.45,1.008,12.972626,77.594416,-15.0,0,32.4,0x0
1600,85.47,48583.1,0.3018,1.3097,9.8682,6.84,-3.41,1.015,12.972633,77.594413,-17.5,0,32.7,0x0
1610,85.43,48558.2,1.1885,1.3479,9.8367,6.87,-3.48,1.019,12.972641,77.594411,-16.8,0,32.9,0x0
1620,85.53,48615.0,0.2848,1.1586,9.8282,6.85,-3.44,1.009,12.972648,77.594408,-20.1,0,33.1,0x0
1630,85.68,48703.7,0.5023,0.7964,9.7795,6.79,-3.44,1.001,12.972655,77.594406,-20.5,0,33.4,0x0
1640,85.68,48703.4,1.0974,1.0825,9.7253,6.79,-3.51,1.004,12.972662,77.594403,-21.2,0,33.6,0x0
1650,85.95,48852.3,1.0921,0.7722,9.8666,6.72,-3.56,1.015,12.97267,77.5944,-19.5,0,33.9,0x0
1660,85.85,48796.2,0.3933,1.1877,9.7181,6.72,-3.53,0.999,12.972677,77.594398,-17.0,0,34.1,0x0
1670,85.8,48769.9,1.3346,1.257,9.8278,6.74,-3.61,1.019,12.972684,77.594396,-14.8,0,34.3,0x0
1680,85.7,48715.2,1.2016,0.6748,9.752,6.68,-3.68,1.004,12.972692,77.594393,-18.2,0,34.6,0x0
1690,85.59,48651.8,1.5555,1.0302,9.7527,6.68,-3.78,1.012,12.972699,77.594391,-18.4,0,34.8,0x0
1700,85.67,48694.9,0.3162,1.2662,9.9841,6.7,-3.74,1.026,12.972706,77.594389,-16.4,0,35.1,0x0
1710,85.6,48653.3,0.9984,1.051,9.7638,6.69,-3.79,1.006,12.972714,77.594386,-20.6,0,35.3,0x0
1720,85.82,48783.4,0.0289,1.0506,9.7549,6.68,-3.72,1.0,12.972721,77.594383,-17.6,0,35.5,0x0
1730,85.81,48775.8,-0.0695,0.6564,9.8004,6.62,-3.66,1.001,12.972728,77.594381,-15.7,0,35.8,0x0
1740,85.89,48818.5,0.165,1.2422,9.7462,6.6,-3.61,1.002,12.972736,77.594379,-14.6,0,36.0,0x0
1750,86.08,48931.1,0.5273,0.2538,9.8814,6.5,-3.6,1.009,12.972743,77.594377,-14.6,0,36.2,0x0
1760,86.05,48911.3,1.3237,0.5256,9.8899,6.41,-3.68,1.019,12.972751,77.594375,-19.2,0,36.5,0x0
1770,86.29,49048.1,1.2717,1.2186,9.8516,6.42,-3.76,1.02,12.972758,77.594372,-20.1,0,36.7,0x0
1780,86.26,49030.5,0.8852,1.118,9.8236,6.43,-3.79,1.012,12.972765,77.594369,-20.9,0,37.0,0x0
1790,86.27,49036.9,0.7095,1.0166,9.847,6.42,-3.79,1.012,12.972772,77.594366,-20.3,0,37.2,0x0
1800,86.15,48967.3,1.5546,1.0491,9.7447,6.43,-3.89,1.012,12.97278,77.594364,-20.0,0,37.4,0x0
1810,86.23,49012.6,1.367,0.8619,9.6385,6.39,-3.96,0.996,12.972787,77.594361,-19.4,0,37.7,0x0
1820,86.16,48975.4,1.2881,0.5779,9.8776,6.33,-4.04,1.017,12.972794,77.594359,-17.6,0,37.9,0x0
1830,86.31,49058.8,2.0547,0.6564,9.7996,6.27,-4.21,1.023,12.972802,77.594356,-19.1,0,38.2,0x0
1840,86.47,49152.9,1.9881,0.9712,9.9222,6.25,-4.36,1.036,12.972809,77.594354,-16.4,0,38.4,0x0
1850,86.64,49244.8,1.6014,0.2386,9.8294,6.17,-4.44,1.015,12.972817,77.594351,-18.7,0,38.6,0x0
1860,86.65,49251.8,1.025,0.9458,9.6274,6.15,-4.47,0.992,12.972824,77.594348,-21.1,0,38.9,0x0
1870,86.75,49309.8,1.4097,0.6539,9.7496,6.11,-4.55,1.006,12.972831,77.594345,-24.6,0,39.1,0x0
1880,86.93,49409.4,0.4688,1.1752,9.8752,6.12,-4.51,1.015,12.972838,77.594342,-20.7,0,39.4,0x0
1890,86.98,49441.1,1.3625,0.5187,9.6226,6.05,-4.58,0.992,12.972846,77.59434,-18.8,0,39.6,0x0
1900,86.78,49328.0,1.6798,1.1608,10.0095,6.06,-4.67,1.041,12.972853,77.594337,-15.4,0,39.8,0x0
1910,86.83,49354.9,1.0627,0.9327,9.9055,6.05,-4.7,1.02,12.972861,77.594335,-16.4,0,40.1,0x0
1920,86.83,49352.8,1.5524,1.3392,10.0035,6.07,-4.79,1.041,12.972868,77.594333,-14.5,0,40.3,0x0
1930,86.87,49376.8,1.0837,0.8983,9.8231,6.06,-4.82,1.012,12.972876,77.594331,-14.7,0,40.6,0x0
1940,86.87,49380.1,1.4165,0.7666,9.8473,6.04,-4.89,1.017,12.972883,77.59433,-11.3,0,40.8,0x0
1950,87.0,49453.7,0.7136,0.7504,9.9292,6.02,-4.87,1.018,12.972891,77.594328,-10.7,0,41.1,0x0
1960,86.9,49394.4,0.7468,1.4435,9.8998,6.07,-4.85,1.023,12.972899,77.594327,-9.6,0,41.3,0x0
1970,86.85,49367.0,1.6025,1.0565,9.8102,6.07,-4.94,1.019,12.972906,77.594325,-10.8,0,41.5,0x0
1980,86.96,49427.3,1.6379,1.0728,9.7408,6.07,-5.03,1.013,12.972914,77.594324,-9.0,0,41.8,0x0
1990,86.88,49381.2,1.3547,0.8663,9.828,6.04,-5.09,1.015,12.972922,77.594322,-11.6,0,42.0,0x0
2000,86.81,49345.2,1.1722,0.9152,9.787,6.03,-5.12,1.009,12.972929,77.594321,-9.0,0,42.3,0x0
2010,86.81,49346.4,0.967,0.8762,9.8418,6.01,-5.13,1.012,12.972937,77.594319,-12.6,0,42.5,0x0
2020,87.05,49480.2,1.7205,0.3196,9.7326,5.94,-5.23,1.008,12.972945,77.594318,-12.9,0,42.7,0x0
2030,87.08,49495.4,1.3075,0.9175,9.8779,5.93,-5.27,1.02,12.972952,77.594316,-12.6,0,43.0,0x0
2040,87.11,49514.2,1.2204,1.1293,9.7472,5.95,-5.31,1.008,12.97296,77.594314,-12.2,0,43.2,0x0
2050,87.14,49528.6,1.0698,0.2791,9.8551,5.85,-5.31,1.011,12.972968,77.594313,-11.2,0,43.5,0x0
2060,87.25,49596.0,1.668,0.5399,9.718,5.8,-5.4,1.007,12.972975,77.594311,-14.0,0,43.7,0x0
2070,87.37,49660.7,1.2614,0.3443,9.6922,5.73,-5.44,0.997,12.972983,77.594309,-10.7,0,44.0,0x0
2079,87.41,49683.6,1.0985,0.6741,9.7336,5.7,-5.47,1.001,12.972991,77.594307,-13.2,0,44.2,0x0
2089,87.46,49711.1,0.8825,0.4289,9.8104,5.63,-5.46,1.005,12.972998,77.594306,-12.9,0,44.4,0x0
2099,87.51,49739.3,1.4163,0.8026,9.8706,5.6,-5.51,1.02,12.973006,77.594304,-12.8,0,44.7,0x0
2109,87.51,49743.1,1.2793,0.5493,9.9214,5.55,-5.56,1.021,12.973014,77.594302,-8.9,0,44.9,0x0
2119,87.57,49776.1,1.6852,1.0621,9.7728,5.55,-5.64,1.017,12.973021,77.594301,-10.1,0,45.2,0x0
2129,87.5,49737.7,1.2518,0.7738,9.682,5.51,-5.68,0.998,12.973029,77.5943,-9.1,0,45.4,0x0
2139,87.41,49683.7,1.8118,0.3934,9.7026,5.44,-5.77,1.007,12.973037,77.594299,-7.8,0,45.7,0x0
2149,87.48,49727.1,1.2469,0.4733,9.7632,5.39,-5.8,1.004,12.973045,77.594298,-7.4,0,45.9,0x0
